Year,M,D,H,M,S,alpha,dec
[1900],[10],[22],[0],[0],[0.00],[16.6686467294],[-22.160473762]
[1900],[10],[23],[0],[0],[0.00],[16.6726684760],[-22.169159688]
[1900],[10],[24],[0],[0],[0.00],[16.6761399721],[-22.182959893]
[1900],[10],[25],[0],[0],[0.00],[16.6792434454],[-22.188931141]
[1900],[10],[26],[0],[0],[0.00],[16.6829193972],[-22.188962170]
[1900],[10],[27],[0],[0],[0.00],[16.6870993212],[-22.196306845]
[1900],[10],[28],[0],[0],[0.00],[16.6908217722],[-22.210430891]
[1900],[10],[29],[0],[0],[0.00],[16.6940613851],[-22.218113308]
[1900],[10],[30],[0],[0],[0.00],[16.6977607541],[-22.218370678]
[1900],[10],[31],[0],[0],[0.00],[16.7020612749],[-22.224333517]
[1900],[11],[1],[0],[0],[0.00],[16.7060209407],[-22.238411789]
[1900],[11],[2],[0],[0],[0.00],[16.7094071744],[-22.247745306]
[1900],[11],[3],[0],[0],[0.00],[16.7131206049],[-22.248529317]
[1900],[11],[4],[0],[0],[0.00],[16.7175045578],[-22.253148707]
[1900],[11],[5],[0],[0],[0.00],[16.7216820148],[-22.266823291]
[1900],[11],[6],[0],[0],[0.00],[16.7252245260],[-22.277673125]
[1900],[11],[7],[0],[0],[0.00],[16.7289482021],[-22.279266784]
[1900],[11],[8],[0],[0],[0.00],[16.7333805231],[-22.282648910]
[1900],[11],[9],[0],[0],[0.00],[16.7377525918],[-22.295586489]
[1900],[11],[10],[0],[0],[0.00],[16.7414597257],[-22.307755819]
[1900],[11],[11],[0],[0],[0.00],[16.7451955261],[-22.310404680]
[1900],[11],[12],[0],[0],[0.00],[16.7496450884],[-22.312724952]
[1900],[11],[13],[0],[0],[0.00],[16.7541844721],[-22.324634308]
[1900],[11],[14],[0],[0],[0.00],[16.7580618184],[-22.337867983]
[1900],[11],[15],[0],[0],[0.00],[16.7618149608],[-22.341773280]
[1900],[11],[16],[0],[0],[0.00],[16.7662534043],[-22.343259043]
[1900],[11],[17],[0],[0],[0.00],[16.7709279520],[-22.353901647]
[1900],[11],[18],[0],[0],[0.00],[16.7749758067],[-22.367898324]
[1900],[11],[19],[0],[0],[0.00],[16.7787532637],[-22.373201228]
[1900],[11],[20],[0],[0],[0.00],[16.7831554885],[-22.374121164]
