[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1904],[3],[6],[0],[0],[0.00],[0.1779762072],[-0.038328500]
[1904],[3],[7],[0],[0],[0.00],[0.1924364881],[0.058729646]
[1904],[3],[8],[0],[0],[0.00],[0.2096658025],[0.174695746]
[1904],[3],[9],[0],[0],[0.00],[0.2277451590],[0.294705375]
[1904],[3],[10],[0],[0],[0.00],[0.2441695856],[0.401120042]
[1904],[3],[11],[0],[0],[0.00],[0.2576483287],[0.486203488]
[1904],[3],[12],[0],[0],[0.00],[0.2690140533],[0.557541933]
[1904],[3],[13],[0],[0],[0.00],[0.2806195881],[0.632553883]
[1904],[3],[14],[0],[0],[0.00],[0.2946657063],[0.726093828]
[1904],[3],[15],[0],[0],[0.00],[0.3116243793],[0.839795495]
[1904],[3],[16],[0],[0],[0.00],[0.3298863746],[0.960812861]
[1904],[3],[17],[0],[0],[0.00],[0.3469200026],[1.071095050]
[1904],[3],[18],[0],[0],[0.00],[0.3610961634],[1.160403582]
[1904],[3],[19],[0],[0],[0.00],[0.3728421039],[1.233535575]
[1904],[3],[20],[0],[0],[0.00],[0.3843242463],[1.306798487]
[1904],[3],[21],[0],[0],[0.00],[0.3979102727],[1.396415991]
[1904],[3],[22],[0],[0],[0.00],[0.4144767155],[1.506914129]
[1904],[3],[23],[0],[0],[0.00],[0.4327637986],[1.627766921]
[1904],[3],[24],[0],[0],[0.00],[0.4502793199],[1.740984392]
[1904],[3],[25],[0],[0],[0.00],[0.4650992747],[1.834120290]
[1904],[3],[26],[0],[0],[0.00],[0.4772355861],[1.909092445]
[1904],[3],[27],[0],[0],[0.00],[0.4886126154],[1.980689790]
[1904],[3],[28],[0],[0],[0.00],[0.5017041478],[2.066076815]
[1904],[3],[29],[0],[0],[0.00],[0.5177693212],[2.172531240]
[1904],[3],[30],[0],[0],[0.00],[0.5359301437],[2.292091001]
[1904],[3],[31],[0],[0],[0.00],[0.5537979136],[2.407283542]
[1904],[4],[1],[0],[0],[0.00],[0.5692028030],[2.503792354]
[1904],[4],[2],[0],[0],[0.00],[0.5817409685],[2.580639102]
[1904],[4],[3],[0],[0],[0.00],[0.5930467293],[2.650745242]
[1904],[4],[4],[0],[0],[0.00],[0.6056362545],[2.731765789]
[1904],[4],[5],[0],[0],[0.00],[0.6211173438],[2.833502235]
[1904],[4],[6],[0],[0],[0.00],[0.6390167385],[2.950732955]
[1904],[4],[7],[0],[0],[0.00],[0.6571120124],[3.066950701]
[1904],[4],[8],[0],[0],[0.00],[0.6730422946],[3.166348936]
[1904],[4],[9],[0],[0],[0.00],[0.6859947990],[3.245092627]
[1904],[4],[10],[0],[0],[0.00],[0.6972693563],[3.313918889]
[1904],[4],[11],[0],[0],[0.00],[0.7093605330],[3.390524933]
[1904],[4],[12],[0],[0],[0.00],[0.7241850948],[3.486964198]
[1904],[4],[13],[0],[0],[0.00],[0.7416889063],[3.600865226]
[1904],[4],[14],[0],[0],[0.00],[0.7598738595],[3.717094993]
[1904],[4],[15],[0],[0],[0.00],[0.7762463789],[3.818761113]
[1904],[4],[16],[0],[0],[0.00],[0.7896034590],[3.899297816]
[1904],[4],[17],[0],[0],[0.00],[0.8008760666],[3.967013912]
[1904],[4],[18],[0],[0],[0.00],[0.8124722265],[4.039194704]
[1904],[4],[19],[0],[0],[0.00],[0.8265694652],[4.129813305]
[1904],[4],[20],[0],[0],[0.00],[0.8435382921],[4.239391988]
[1904],[4],[21],[0],[0],[0.00],[0.8616605724],[4.354558669]
[1904],[4],[22],[0],[0],[0.00],[0.8783729143],[4.457766206]
[1904],[4],[23],[0],[0],[0.00],[0.8921074707],[4.539890914]
[1904],[4],[24],[0],[0],[0.00],[0.9033993442],[4.606627255]
[1904],[4],[25],[0],[0],[0.00],[0.9145085707],[4.674424709]
[1904],[4],[26],[0],[0],[0.00],[0.9278206225],[4.758812204]
[1904],[4],[27],[0],[0],[0.00],[0.9441263747],[4.863175887]
[1904],[4],[28],[0],[0],[0.00],[0.9620347613],[4.976226027]
[1904],[4],[29],[0],[0],[0.00],[0.9789776602],[5.080204437]
[1904],[4],[30],[0],[0],[0.00],[0.9930589020],[5.163678902]
[1904],[5],[1],[0],[0],[0.00],[1.0043990310],[5.229604449]
[1904],[5],[2],[0],[0],[0.00],[1.0150491433],[5.293182104]
[1904],[5],[3],[0],[0],[0.00],[1.0275430056],[5.371091986]
[1904],[5],[4],[0],[0],[0.00],[1.0430779119],[5.469489141]
[1904],[5],[5],[0],[0],[0.00],[1.0606313594],[5.579444691]
[1904],[5],[6],[0],[0],[0.00],[1.0776947456],[5.683421553]
[1904],[5],[7],[0],[0],[0.00],[1.0920849094],[5.767960864]
[1904],[5],[8],[0],[0],[0.00],[1.1034973716],[5.833215015]
[1904],[5],[9],[0],[0],[0.00],[1.1137188213],[5.892770052]
[1904],[5],[10],[0],[0],[0.00],[1.1253696563],[5.964043301]
[1904],[5],[11],[0],[0],[0.00],[1.1400290592],[6.055789115]
[1904],[5],[12],[0],[0],[0.00],[1.1570751717],[6.161648861]
[1904],[5],[13],[0],[0],[0.00],[1.1741249588],[6.264743768]
[1904],[5],[14],[0],[0],[0.00],[1.1887589953],[6.349926688]
[1904],[5],[15],[0],[0],[0.00],[1.2002472222],[6.414550306]
[1904],[5],[16],[0],[0],[0.00],[1.2100606284],[6.470253149]
[1904],[5],[17],[0],[0],[0.00],[1.2208411939],[6.534760857]
[1904],[5],[18],[0],[0],[0.00],[1.2345187761],[6.619214920]
[1904],[5],[19],[0],[0],[0.00],[1.2508969117],[6.719981020]
