planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
J,jg0062,2009-2009,25,25,0,relative,see observatories coordinates below.
J,jg0063,1985-1985,121,121,0,relative,see observatories coordinates below.
J,jg0064,1985-1985,26,26,0,relative,see observatories coordinates below.
J,jg0065,1990-1992,286,286,0,relative,see observatories coordinates below.
J,jg0066,1990-1992,70,70,0,relative,see observatories coordinates below.
J,jg0067,2021-2021,78,78,0,relative,see observatories coordinates below.
J,jg0068,2021-2021,7,7,0,relative,see observatories below.
J,jg0069,2015-2017,209,209,0,absolute,258 - Gaia
J,jg0070,2021-2021,2,2,0,relative,"D19 - Hong Kong Space Museum, Sai Kung, New Territories, Hong Kong"
J,jg0071,1991-1991,2,2,0,relative,SERGA
J,jg0072,2017,1,1,0,absolute,"874 - Observatorio do Pico dos Dias, Itajuba; X57 - Polo Astronomico CMF, Foz do Iguacu; W95 - Observatorio Panameno, San Pedro de Atacama"
J,jg0073,2014-2019,295,295,0,absolute,258 - Gaia
J,jg0074,2016-2021,5,5,0,absolute,"24 stations in North and South America, Hawaii, and South Korea"
J,ji0001,1998-1998,35,35,0,relative,B18 - Pik Terskol
J,ji0002,1999-2000,160,160,0,relative,9999 - Pik Terskol
J,ji0003,1995-1995,171,171,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
J,ji0004,2000-2000,123,123,0,relative,9999 - Pik Terskol
J,ji0005,1988-1988,156,114,-42,relative,675 - Palomar Mountain
J,ji0006,1981-1981,9,9,0,relative,"689 - U.S. Naval Observatory, Flagstaff"
J,ji0007,1977-1977,10,10,0,absolute,"780 - Leander McCormick Observatory, Charlottesville"
J,ji0008,1976-1978,6,6,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,ji0009,1976-1978,24,24,0,relative,"711 - McDonald Observatory, Fort Davis"
J,ji0010,1967-1967,90,90,0,absolute,88 - Kottomia
J,ji0011,1954-1954,41,41,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,ji0012,"1994,1996",10,10,0,relative,250 - Hubble Space Telescope
J,ji0013,1995-2001,664,664,0,absolute,874 - Itajuba
J,ji0014,2001-2002,58,58,0,relative,B18 - Terskol
J,ji0015,2015-2015,54,54,0,absolute,586 - Pic du Midi
J,ji0016,1999-2001,303,303,0,relative,B18 - Terskol
J,ji0017,2000-2001,289,289,0,absolute,Cassini space probe
J,ji0018,2009-2009,1,1,0,relative,see observatories coordinates below.
J,jo0001,1998-1998,115,115,0,absolute,689 - Flagstaff
J,jo0002,1999-2000,133,133,0,absolute,689 - Flagstaff
J,jo0003,1997-1999,14,14,0,absolute,"673 - Table Mountain Observatory, Wrightwood"
J,jo0004,2000-2000,60,60,0,absolute,"106 - Crni vrh.; 568 - Mauna Kea.; 691 - Steward Observatory, Kitt Peak-Spacewatch.; 704 - Lincoln Laboratory Experimental Test System, New Mexico.; 732 - Oaxaca.; 809 - European Southern Observatory, La Silla."
J,jo0005,"1992-1993 : 2,",96,96,0,absolute,"413 - Siding Spring; 704 - Lincoln Laboratory Experimental Test System, New Mexico.; 696 - Whipple Observatory, Mt. Hopkins; 699 - Lowell Observatory-LONEOS"
J,jo0006,1999-1999,9,9,0,absolute,"835 - Drum Hill Station, Chelmsford"
J,jo0007,2001-2001,6,6,0,absolute,"644 - Palomar Mountain/NEAT; 691 - Steward Observatory, Kitt Peak-Spacewatch"
J,jo0008,"1993, 1998, 2001-2002",230,230,0,absolute,"185 - Observatoire astronomique jurassien-Vicques; 365 - Kashihara, Uto Observatory; 568 - Mauna Kea; 608 - Haleakala-AMOS; 636 - Essen; 644 - Palomar Mountain/NEAT; 691 - Steward Observatory, Kitt Peak-Spacewatch; 699 - Lowell Observatory-LONEOS; 704 - LINEAR, Lincoln Laboratory ETS, New Mexico"
